1-4|跨会话记忆|把值得保留的信息写入向量库，下次用问题检索回来。|程序重启后，普通 messages 列表会丢失；持久化让过去的信息还能参与回答。|只取相关记忆，避免把所有历史都塞进提示词。|相似度不等于事实正确；需要处理过期记忆、重复数据和用户隔离。|需要记住用户长期偏好的助手。|一次性问答，或没有权限保存个人信息的服务。|记住“我喜欢清淡”，换一种问法询问饮食偏好，观察 recall 是否找到原记录。
2-1|调度者与执行者|调度者拆任务，执行者分头处理，最后汇总。|不同子任务有不同目标，把职责分开便于控制。|拆解和汇总各自清楚，便于替换某个执行者。|调度者可能成为瓶颈，拆错任务会影响全链路。|能分解为几个专业子任务的报告或分析。|简单请求，或子任务之间需要密集交互却没有共享机制。|让一个执行者只返回部分信息，检查汇总是否说明缺失。
2-2|多阶段流水线|研究结果交给写作，写作结果再交给审阅。|后一步需要前一步产物，顺序传递比同时开工更合适。|每阶段输入输出明确，容易单独调试。|早期错误会被后面继承；总延迟累加。|资料整理、成稿、审核等顺序工作。|各任务互相独立且追求并发速度的场景。|故意让研究结果缺少依据，检查审阅能否指出。
2-3|协作讨论|多个角色轮流交换意见，满足共识条件或轮数上限后停止。|单一视角可能遗漏问题，交叉讨论增加检查角度。|意见分歧可见，有机会改进初稿。|达成共识不代表事实正确；讨论可能重复、成本不断增长。|方案审阅、观点比较。|必须有外部证据支撑却只靠模型互相同意的判断。|让两方坚持不同结论，检查轮数上限是否终止讨论。
2-4|竞争与裁判|多个候选独立作答，裁判比较并选择。|同一模型的一次答案可能不是最合适的，多个候选提供选择空间。|候选可并列检查，容易做不同风格实验。|增加生成与裁判成本；裁判也可能偏好文风而非正确性。|文案候选、受明确标准约束的方案选择。|没有评价标准、或预算只容许一次调用的任务。|交换候选展示顺序，观察裁判选择是否稳定。
2-5|Agent 消息信封|给消息附上发送者、接收者、任务标识等字段并检查格式。|多个角色通信需要知道“谁给谁、属于哪件事”。|字段明确，方便路由和追踪。|自定义 JSON 演示不等于完整 A2A 标准实现；没有自动提供网络传输、认证和重试。|学习消息格式、设计内部消息约定。|直接声称能与任意 A2A 服务互通。|删除一个必填字段，观察验证是否拒绝消息。
2-6|共享状态|多个 worker 通过共享字典读写中间结果。|后一个角色需要前一个角色的结果，不应重复计算或丢失上下文。|数据汇聚在一个地方，容易观察变化。|锁只能保护读写，不自动保证业务依赖顺序；共享状态会增加耦合。|单进程、明确写入顺序的小型协作。|跨机器共享或复杂并发一致性需求。|调换两个 worker 的执行顺序，观察读取是否得到缺失值。
2-7|失败降级|优先执行主方案，失败后尝试备用方案。|单个执行者不可用时，仍希望给出可接受的部分服务。|失败不会立即拖垮全部请求。|备用方案质量可能更低；若失败原因相同，反复切换也无效。|允许质量降低的只读查询。|不能重复执行的写操作，或不能接受降级结果的任务。|让主方案失败，再让备用也失败，检查最后如何结束。
2-8|并发数量控制|用信号量限制同时执行的 worker 数量。|一次启动过多请求会占满连接或触发服务限制。|并发度可调，避免无限制拥挤。|限制同时运行数量不等于限制每秒请求数；慢任务会长期占用名额。|大量独立的等待型子任务。|供应商要求严格 QPS 限制却没有额外速率控制的情况。|把上限改为 1 和 3，记录同时运行数量与总耗时。
2-10|多 Agent 综合流程|组合并发 worker、失败处理和结果汇总。|分工只有在失败、等待和汇总都被处理后才能形成完整流程。|一个请求能协调多个执行者，便于比较单 Agent 与多 Agent。|部分失败时结果含义复杂；需要区分失败文本和有效答案。|多个独立分析维度的综合报告原型。|任何一个子结果错误都会导致不可接受后果的直接自动执行。|让一个 worker 抛错，检查其他任务是否继续，以及汇总是否暴露失败。
2-11|任务分解与路由|把文本拆成子任务，按关键词选择匹配的 Agent 执行。|不同任务需要交给不同能力，先做路由才能委派。|规则简单可解释，能看到每项任务被谁接走。|关键词覆盖有限，同义词和多意图容易选错；演示执行者不等于真实模型。|固定领域的教学路由或小型规则分发。|开放领域、表达变化很大的复杂需求。|换掉路由关键词，观察没有执行者认领时返回什么。
2-12|事件总线|订阅者按主题注册回调，发布时找到该主题的订阅者并投递。|发布者不必知道所有接收者，只需要知道消息主题。|发送端和接收端更容易独立扩展。|内存总线没有消息持久化、可靠重投和跨进程能力；同步回调还可能阻塞发布者。|单进程事件通知、理解发布订阅。|要求可靠送达的跨服务消息系统。|发布一个无人订阅的主题，再让两个回调订阅同一主题，观察投递次数。
2-13|黑板协作|所有角色读写同一块黑板，逐步补齐最终建议所需的信息。|角色不必两两传消息，可以从公共状态发现已有资料。|中间结果集中、方便检查与复用。|字段约定和执行顺序隐含依赖；并发写入、过期信息需额外管理。|多个步骤补齐一个结构化结果。|严格隔离数据、或无共同状态结构的任务。|先执行依赖天气的推荐者，检查缺失天气时输出是否合理。
2-14|死锁与重复循环检测|在等待关系中找环，并检测状态重复或步数过多。|Agent 可能互相等待，也可能一直重复同样的动作而不结束。|把“卡住”变成可检测条件，便于终止和诊断。|重复状态不总是错误；图检测成立依赖等待关系建模是否准确。|工作流调试、给迭代过程增加停止条件。|把检测到等待图环直接等同所有运行时死锁而不检查锁语义。|构造 A 等 B、B 等 A，再构造正常链条，比较检测结果。
2-15|跨角色调用链|给一次请求和每段调用生成标识，再按父子关系还原树。|多个执行者的日志混在一起时，需要知道哪些记录属于同一请求。|能看清调用归属和上下游关系。|本地树形演示不包含跨服务上下文传播、采样与集中存储。|理解 trace/span 和调试多步调用。|直接替代完整分布式可观测平台。|让同一角色被两个父节点调用，检查是否能按 parent 区分。
2-16|预算分摊|按每个 Agent 的输入输出用量累计费用，并与预算比较。|总费用高时需要知道花在谁身上，以及何时该停止。|费用可归因，便于调整调用策略。|示例 token 与单价不代表实际账单；调用后记账可能超过预算。|预算教学、离线成本模型。|要求严格绝不超额却没有调用前预留和并发控制的系统。|设置小于一次调用成本的预算，观察何时停止、是否已超额。
2-17|人工确认节点|识别关键步骤，在真正执行前取得人工批准，拒绝时停止或跳过。|发信、改库等动作需要由人承担最终决策，不能只靠模型决定。|关键决策可以插入可见的人工关口。|模拟回复不等于真实审批；审批若放在执行后就无法阻止动作。|学习审批状态和恢复流程。|照搬模拟批准代码直接执行外部副作用。|给关键步骤返回 reject，确认 run_step 是否仍被调用。
2-18|多 Agent 协作评测|计算完成率、协作轮数对应的效率分和产出质量，再加权比较。|仅看最终答案无法体现协作成本和任务遗漏。|可以把多个评价维度放在一起比较。|权重是人为选择；少轮数不必然高质量，样例质量分也不是自动验证。|架构对照实验、固定任务集的趋势比较。|把单个综合分当作所有场景的绝对优劣。|交换效率和质量的权重，观察排名是否变化。
2-19|工具权限与审计|按 Agent 角色检查工具白名单，再检查额外授权并记录结果。|模型说要调用不代表它有权限执行，执行入口需要独立校验。|权限规则集中，拒绝原因可以追踪。|字典里的角色和布尔授权不是可信身份系统；需要阻止绕过检查直接调工具。|演示最小权限、规划工具网关。|将调用方自报身份直接当作生产授权。|用只读角色请求写工具，检查是否在工具执行前拒绝并记录。
3-1|框架工具调用 Agent|把天气与计算工具交给 Agent，模型选择工具，框架或循环执行并回传结果。|手写循环要处理工具描述、参数和消息回填，框架可以统一这些环节。|更容易增减工具和复用调用协议。|框架增加版本依赖和调试层次；工具本身的正确性仍需自己负责。|工具数量逐渐增加的助手原型。|极简规则流程，或必须精确控制每一个调用细节且不愿引入框架的项目。|给出同时需要天气和算术的问题，检查工具结果是否都进入最终回答。
3-2|图式工作流|用节点表示计划、执行与汇总，用边规定下一步。|流程复杂后，显式图比散落的条件判断更容易检查。|阶段与连接关系清晰，节点可以单独替换。|图本身不会自动并行；状态字段和边的错误仍会传播。|阶段固定、需要观察状态变化的任务。|简单直线脚本且没有图管理需求。|去掉通向汇总节点的一条边，思考图在哪里终止。
3-3|MCP 工具通信入门|客户端启动子进程，用标准输入输出传 JSON-RPC 请求，服务端列出并执行工具。|工具可以运行在独立进程，双方需要约定请求和响应格式。|模型侧和工具实现可以分离，协议内容可直接观察。|这是协议子集教学实现；不能据此认定完整兼容、可靠并发或具备安全隔离。|理解 stdio 与工具发现、工具调用的关系。|直接作为面向不可信客户端的公共工具服务。|请求一个不存在的工具，观察响应 id 与错误内容是否能对应请求。
3-4|评测运行器|遍历固定题集，调用被测 Agent 和裁判，统计正确率等结果。|修改 Agent 后需要同口径检查回归。|输入、期望和得分集中，便于比较版本。|小题集不能代表真实分布；裁判错误会直接影响分数。|评测流程入门、少量回归样例。|凭几题分数做高风险选型或效果承诺。|增加一道模型容易答非所问的题，查看裁判是否只认关键词。
3-5|切块、混合检索与重排|把文档切块，用字符向量与词项分数召回，再对候选排序。|整篇检索粒度粗；只用一种匹配信号可能漏掉相关片段。|可比较切块、重叠和混合权重对候选的影响。|本地字符二元组不是预训练语义 embedding，稀疏分数也是简化实现；两种分数尺度未必可直接相加。|理解 RAG 各环节和做小数据实验。|把演示效果等同真实语义检索或生产 BM25 性能。|问一个与原文同义但措辞不同的问题，观察字符匹配的局限。
3-8|检索质量指标|计算 Recall@k、NDCG@k 和 MRR，对比命中数量和排序位置。|找到相关文档与把最相关结果排前面是不同能力。|能把“检索好不好”拆成可测指标。|需要可信相关性标注；空集合、重复结果和 k 的选择会影响比较。|检索参数和排序方法的离线比较。|没有标注数据时把指标当作真实用户满意度。|保持命中文档不变，只把相关文档往后移，观察三个指标怎样变化。
3-9|持久化与暂停恢复|生成草稿，保存状态，在人审处暂停，再带决定恢复执行。|人工不会立即回复，进程也可能重启；状态需要跨等待保留。|长流程可以分多次运行，审核决定能进入后续状态。|恢复时要避免重复副作用；本地演示不自动解决多用户隔离与并发写入。|需要等待审批的长流程原型。|未设计事务、身份与幂等却直接承载重要写操作。|在暂停后重新启动进程，检查是否读回同一份草稿并接受拒绝。
